-0.9735,0.040513,0.9094,0.11204,-0.021645,0.43579,-0.82686,0.040502,0.78913,0.11181,-0.021643,0.42213,0.56241,0.99918,0.61422,0.99373,0.99977,0.90654
-1.0191,-0.12229,0.86455,-0.047604,-0.020821,0.38692,-0.85164,-0.12199,0.76081,-0.047586,-0.02082,0.37734,0.52413,0.99253,0.64898,0.99887,0.99978,0.92607
-0.92493,0.05819,0.95444,0.12534,-0.02172,0.43939,-0.79858,0.058157,0.81599,0.12501,-0.021718,0.42539,0.60189,0.99831,0.57806,0.99216,0.99976,0.90501
-0.97137,-0.10842,0.91143,-0.030518,-0.02089,0.39174,-0.82566,-0.10821,0.79038,-0.030513,-0.020889,0.3818,0.56417,0.99413,0.61261,0.99953,0.99978,0.92425
-0.94296,0.1241,0.89551,0.04638,-0.061356,0.43748,-0.8093,0.12379,0.78053,0.046363,-0.061317,0.42366,0.5874,0.99231,0.62512,0.99892,0.99812,0.90582
-0.99552,-0.041069,0.8445,-0.11386,-0.059018,0.38972,-0.83904,-0.041058,0.74764,-0.11361,-0.058984,0.37993,0.54406,0.99916,0.66411,0.99352,0.99826,0.92501
-0.90382,0.1103,0.93178,0.029648,-0.061145,0.43387,-0.78569,0.11007,0.80268,0.029644,-0.061106,0.42038,0.61862,0.99392,0.5964,0.99956,0.99813,0.90735
-0.95697,-0.058523,0.88217,-0.12694,-0.058823,0.3849,-0.81745,-0.05849,0.77212,-0.1266,-0.058789,0.37547,0.576,0.99829,0.63548,0.99195,0.99827,0.92684
-0.8279,0.051977,0.77006,0.11616,-0.019989,0.32867,-0.73651,0.051953,0.69618,0.1159,-0.019988,0.32278,0.67642,0.99865,0.71787,0.99326,0.9998,0.94647
-0.87791,-0.12589,0.71966,-0.062558,-0.019284,0.26785,-0.76941,-0.12556,0.65913,-0.062517,-0.019283,0.26466,0.63876,0.99209,0.75203,0.99804,0.99981,0.96434
-0.77337,0.073887,0.81961,0.12895,-0.020053,0.33319,-0.69855,0.073819,0.73088,0.1286,-0.020051,0.32706,0.71556,0.99727,0.6825,0.9917,0.9998,0.945
-0.82553,-0.11252,0.77232,-0.041719,-0.019344,0.27385,-0.73491,-0.11228,0.6978,-0.041707,-0.019343,0.27044,0.67817,0.99368,0.71629,0.99913,0.99981,0.96274
